Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,total_abusive_word,text_abusive_word
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego,1,1,1,0,0,0,0,0,1,1,0,0,1,bego
pengguna siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0,2,edan sarap
41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0,1,sipit
pengguna kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha,1,1,0,1,1,0,0,0,0,0,1,0,5,dongok dungu kafir bong cebong
ya bani taplak dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0,2,taplak bani
deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,0,
gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1,kampret
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kaw doket mana itu gerai rozak mertuaku taipan 2 depan kembar baby romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0,1,tai
enak lagi kalau sambil ngewe,0,1,0,0,0,0,0,0,0,0,0,0,1,ngewe
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu,1,1,1,0,0,0,0,0,1,1,0,0,1,bacot
pengguna user banci kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,1,banci
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0,0,
aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0,1,lengser
bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru,1,1,1,0,0,0,0,1,0,1,0,0,2,jablay pecun
pengguna user pengguna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0,2,kafir onta
belakangan ini kok pikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0,1,ampas
ari sama beki adalah rapi monyet,0,1,0,0,0,0,0,0,0,0,0,0,1,monyet
jadi cowok itu harus gantle kalau tidak gantle itu namanya banci,1,1,0,1,0,0,0,1,0,0,1,0,1,banci
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0,0,
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0,1,anjing
kalau kamu noob pasti peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0,1,noob
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0,0,
pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0,0,
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0,0,
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0,0,
ini sih kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0,1,setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0,2,tai komunis
pengguna itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0,2,bong cebong
pengguna user pengguna user islam nusantara produk jil dipasarkan dengan gencar oleh antek jil sementara jil anti arab tapi pro asing kata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0,2,antek asing
dari habis sahur sampai jam 10 sih bayi sudah nete empat kali sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0,1,nete
tidak kak emak adalah tidak suka sama yang sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0,1,sipit
pengguna kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,3,ngentot gay homo
tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0,0,
pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0,2,bangsat gembel
para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji selamat ulang tahun pelaut jkt48,0,1,0,0,0,0,0,0,0,0,0,0,1,bajingan
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,0,0,0,0,0,0,0,0,0,0,0,0,0,
edan memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0,1,edan
tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0,3,bejat kafir hina
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0,0,
anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0,2,anjir bego
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 pengguna keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0,0,
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna user kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan salat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0,0,
kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0,2,bodoh gila
pengguna ahok the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0,1,kampret
pengguna sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0,1,dungu
awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden dungu,1,1,1,0,0,0,1,0,0,1,0,0,1,dungu
pinokio umur 3 tahunan itu 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,0,
cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina,0,0,0,0,0,0,0,0,0,0,0,0,0,
benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0,0,
pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibu kota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0,2,bong cebong
dari pada gue nete,0,1,0,0,0,0,0,0,0,0,0,0,1,nete
wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0,1,bani
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0,1,iblis
a orang yang suka ke konser konser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0,0,
sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0,0,
susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0,0,
sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0,2,banci homo
saya suka video uniform resource locator awal kisah perseteruan haji bolot malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0,0,
budaya kafir bersungguh kalau hal hal islam tidak diindahkan,0,0,0,0,0,0,0,0,0,0,0,0,1,kafir
pengguna user lah la lah hem hem semua diam semua bisu kita coba tanya sama rumput yang bergoyang,0,0,0,0,0,0,0,0,0,0,0,0,1,bisu
apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a raf 200 dan fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0,1,setan
pengguna user pengguna kalau kamu ateis apa sibuk dengan agama orang,0,0,0,0,0,0,0,0,0,0,0,0,1,ateis
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1,2,bangsat lengser
selamat hari kartini 2019 ganti presiden 2019 presiden baru,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna bajingan homo hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,2,bajingan homo
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0,1,cocot
karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,
yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
x kamu berbicara saja tidak benar bangkai,1,1,1,0,0,0,0,0,1,1,0,0,1,bangkai
pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0,1,komunis
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0,2,tai komunis
kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0,0,
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0,1,ngentot
pengguna cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1,1,babi
bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya kalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,1,rezim
wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0,0,
suka menutup mata tidak ditutup pun sudah terlihat tertutup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0,1,sipit
saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,0,0,0,0,0,0,0,0,0,0,0,0,1,nista
eh kasar kamu kampang,1,1,1,0,0,0,0,0,1,1,0,0,1,kampang
bentar lagi gue rilis album the onta si wkwk,0,0,0,0,0,0,0,0,0,0,0,0,1,onta
ada cebong bang dia merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0,2,bong cebong
najis banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0,1,najis
kamu transgender atau bagaimana anjing uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,2,anjing transgender
awas bintitan kamu mengintip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0,1,titit
pengguna bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh,0,1,0,0,0,0,0,0,0,0,0,0,0,
pengguna user gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh,1,1,1,0,1,0,0,0,0,1,0,0,2,bacot kafir
jangan salah target bukan ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1,1,lengser
pengguna masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,0,
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1,bodoh
